Team,Number,Last,First,GP,PA,AB,AVG,OBP,OPS,SLG,H,1B,2B,3B,HR,RBI,R,BB,SO,K-L,HBP,SAC,SF,ROE,FC,SB,SB%,CS,PIK,QAB,QAB%,PA/BB,BB/K,C%,HHB,LD%,FB%,GB%,BABIP,BA/RISP,LOB,2OUTRBI,XBH,TB,PS,PS/PA,2S+3,2S+3%,6+,6+%,AB/HR,GIDP,GITP,CI
Coquitlam Reds,11,Marchant,Mathew,26,80,62,0.21,0.359,0.617,0.258,13,10,3,0,0,6,9,14,16,8,1,2,1,0,1,6,100,0,0,39,48.75,5.7,0.875,74.19,10,14.29,53.06,22.45,0.277,0.208,35,2,3,16,313,3.913,10,12.5,19,23.75,-,1,0,0
Abbotsford Cardinals,16,Allard,Nathan,29,79,67,0.254,0.325,0.623,0.299,17,15,1,1,0,10,18,7,9,5,1,2,2,5,2,11,84.62,2,2,29,36.71,11.3,0.778,86.57,11,8.06,37.1,48.39,0.283,0.241,42,3,2,20,269,3.405,6,7.59,10,12.66,-,0,0,0
Okanagan A's,60,Taylor,Zach,28,79,62,0.177,0.342,0.551,0.21,11,9,2,0,0,6,8,9,18,4,7,0,1,4,0,2,66.67,1,1,27,34.18,8.8,0.5,70.97,7,15.56,53.33,28.89,0.244,0.167,46,1,2,13,269,3.405,5,6.33,10,12.66,-,2,0,0
Abbotsford Cardinals,37,Nakajima,Yuki,29,78,65,0.246,0.359,0.667,0.308,16,12,4,0,0,15,14,9,17,3,3,0,1,1,2,3,60,2,2,32,41.03,8.7,0.529,73.85,8,8.16,46.94,44.9,0.327,0.345,38,4,4,20,305,3.91,12,15.38,16,20.51,-,0,0,0
Okanagan A's,3,Crowe,Malachi,37,77,67,0.209,0.293,0.502,0.209,14,14,0,0,0,4,14,7,16,7,1,2,0,4,3,7,100,0,0,25,32.47,11,0.438,76.12,11,13.21,24.53,54.72,0.275,0.192,36,0,0,14,258,3.351,4,5.19,11,14.29,-,1,0,0
Okanagan A's,12,Innes,Matt,32,76,65,0.185,0.25,0.435,0.185,12,12,0,0,0,2,9,6,13,3,0,4,1,3,1,8,72.73,3,0,31,40.79,12.7,0.462,80,8,14.04,28.07,40.35,0.226,0.115,50,1,0,12,253,3.329,12,15.79,14,18.42,-,0,0,0
Whalley Chiefs,66,Isfeld,Ryder,26,75,69,0.188,0.253,0.529,0.275,13,9,2,2,0,9,7,5,24,11,1,0,0,5,2,0,-,0,0,29,38.67,15,0.208,65.22,9,20,37.78,42.22,0.289,0.162,55,4,4,19,281,3.747,7,9.33,14,18.67,-,0,0,0
Abbotsford Cardinals,1,Harper,Jamieson,27,73,58,0.224,0.366,0.608,0.241,13,12,1,0,0,3,8,11,16,6,2,2,0,1,2,1,100,0,0,31,42.47,6.6,0.688,72.41,8,2.33,44.19,48.84,0.31,0.231,37,1,1,14,263,3.603,13,17.81,14,19.18,-,0,0,0
Delta Blue Jays,21,Dubnov,Mason,24,73,61,0.23,0.356,0.651,0.295,14,10,4,0,0,9,9,9,11,4,3,0,0,3,2,5,83.33,1,0,29,39.73,8.1,0.818,81.97,12,10,40,50,0.28,0.273,31,0,4,18,249,3.411,7,9.59,12,16.44,-,2,0,0
UBC Thunder,29,Higgs,Lochlan,26,73,55,0.236,0.394,0.667,0.273,13,11,2,0,0,5,8,13,14,4,2,2,1,1,1,5,62.5,3,1,36,49.32,5.6,0.929,74.55,8,18.18,18.18,52.27,0.31,0.105,30,1,2,15,279,3.822,8,10.96,12,16.44,-,0,0,0
Coquitlam Reds,2,Dolmat,Alex,33,72,54,0.13,0.314,0.462,0.148,7,6,1,0,0,5,8,13,23,9,2,2,1,0,2,7,63.64,4,1,36,50,5.5,0.565,57.41,9,11.76,29.41,52.94,0.219,0.136,40,4,1,8,304,4.222,10,13.89,15,20.83,-,0,0,0
Okanagan A's,15,Ingram,Reid,26,72,59,0.305,0.423,0.762,0.339,18,16,2,0,0,7,6,9,17,4,3,1,0,2,2,3,60,2,0,31,43.06,8,0.529,71.19,16,30.23,20.93,46.51,0.429,0.316,28,3,2,20,262,3.639,6,8.33,10,13.89,-,0,0,0
Victoria Mariners,5,Craven,Sam,32,72,56,0.25,0.348,0.652,0.304,14,11,3,0,0,12,9,7,8,7,2,6,1,5,2,1,100,0,0,37,51.39,10.3,0.875,85.71,14,9.09,10.91,67.27,0.286,0.263,27,4,3,17,256,3.556,5,6.94,11,15.28,-,1,0,0
Victoria Mariners,12,Stockham,Matt,30,72,56,0.25,0.394,0.662,0.268,14,13,1,0,0,9,16,10,10,3,4,1,1,6,1,2,66.67,1,0,32,44.44,7.2,1,82.14,10,20.83,22.92,54.17,0.298,0.25,26,2,1,15,273,3.792,8,11.11,9,12.5,-,2,0,0
Whalley Chiefs,20,Kenny,Declan,27,72,51,0.137,0.375,0.512,0.137,7,7,0,0,0,6,8,15,11,3,5,0,1,2,2,1,100,0,0,29,40.28,4.8,1.364,78.43,5,9.76,39.02,51.22,0.171,0.158,35,4,0,7,271,3.764,12,16.67,17,23.61,-,4,0,0
UBC Thunder,76,Harris,Nick,26,71,57,0.123,0.282,0.44,0.158,7,6,0,1,0,6,8,11,15,11,2,0,1,1,1,5,83.33,1,1,26,36.62,6.5,0.733,73.68,6,11.63,44.19,44.19,0.163,0.118,34,4,1,9,270,3.803,7,9.86,15,21.13,-,0,0,0
Whalley Chiefs,97,Medhurst,Easton,28,71,62,0.21,0.296,0.538,0.242,13,11,2,0,0,13,9,5,10,1,3,0,1,4,4,1,100,0,0,25,35.21,14.2,0.5,83.87,15,24.53,37.74,37.74,0.245,0.316,28,2,2,15,225,3.169,6,8.45,9,12.68,-,0,0,0
North Shore Twins,29,Tomlinson,Rocco,25,70,59,0.169,0.3,0.486,0.186,10,9,1,0,0,7,9,7,18,8,4,0,0,2,1,1,100,0,0,26,37.14,10,0.389,69.49,9,12.2,34.15,53.66,0.244,0.1,50,1,1,11,246,3.514,9,12.86,9,12.86,-,0,0,0
UBC Thunder,32,Stevenson,Matt,26,70,53,0.264,0.429,0.712,0.283,14,13,1,0,0,11,14,16,8,5,0,0,1,2,0,6,66.67,3,1,33,47.14,4.4,2,84.91,12,21.74,32.61,45.65,0.304,0.2,25,3,1,15,261,3.729,3,4.29,12,17.14,-,0,0,0
Whalley Chiefs,35,Lindale,Ben,32,70,58,0.172,0.279,0.469,0.19,10,9,1,0,0,5,16,6,15,4,3,2,1,1,1,2,66.67,1,1,23,32.86,11.7,0.4,74.14,7,15.22,23.91,56.52,0.227,0.111,29,1,1,11,252,3.6,8,11.43,11,15.71,-,1,0,0
Abbotsford Cardinals,53,Rochon,Daniel,30,69,57,0.298,0.42,0.806,0.386,17,13,3,1,0,5,9,10,10,2,2,0,0,1,2,4,80,1,0,29,42.03,6.9,1,82.46,10,12.77,44.68,42.55,0.362,0.276,40,1,4,22,224,3.246,5,7.25,9,13.04,-,0,0,0
UBC Thunder,24,Siegenthaler,Nico,27,69,55,0.255,0.391,0.755,0.364,14,8,6,0,0,8,5,10,20,5,3,0,1,1,0,4,100,0,0,37,53.62,6.9,0.5,63.64,9,19.44,36.11,44.44,0.389,0.333,22,4,6,20,301,4.362,14,20.29,21,30.43,-,1,0,0
Okanagan A's,2,Swift,Ryan,24,68,60,0.267,0.353,0.636,0.283,16,15,1,0,0,4,5,8,5,4,0,0,0,2,1,6,85.71,1,0,26,38.24,8.5,1.6,91.67,11,16.36,36.36,41.82,0.291,0.286,28,1,1,17,231,3.397,8,11.76,9,13.24,-,1,0,0
UBC Thunder,26,Cole,Adam,24,68,61,0.279,0.353,0.763,0.41,17,12,2,3,0,12,9,7,10,3,0,0,0,3,0,5,83.33,1,0,25,36.76,9.7,0.7,83.61,11,15.69,43.14,37.25,0.333,0.281,38,8,5,25,229,3.368,5,7.35,7,10.29,-,0,0,0
Langley Blaze,12,Hough,Ronen,25,67,56,0.161,0.288,0.466,0.179,9,8,1,0,0,7,3,6,14,7,4,1,0,3,1,1,100,0,1,22,32.84,11.2,0.429,75,8,16.28,34.88,44.19,0.214,0.148,40,0,1,10,251,3.746,6,8.96,7,10.45,-,0,0,0
Victoria Eagles,2,Hodder,Eric,28,67,55,0.2,0.343,0.58,0.236,11,9,2,0,0,5,8,7,17,12,5,0,0,4,2,1,100,0,0,31,46.27,9.6,0.412,69.09,14,21.05,39.47,39.47,0.289,0.111,36,1,2,13,245,3.657,9,13.43,11,16.42,-,0,0,0
Victoria Mariners,33,Anselmo,Franco,37,66,53,0.17,0.302,0.49,0.189,9,8,1,0,0,6,12,10,15,6,0,3,0,3,2,6,85.71,1,0,28,42.42,6.6,0.667,71.7,5,12.2,17.07,60.98,0.237,0.267,27,4,1,10,260,3.939,5,7.58,12,18.18,-,0,0,0
White Rock Tritons,15,Memmott,Callum,28,66,52,0.115,0.266,0.4,0.135,6,5,1,0,0,4,6,6,29,8,5,2,1,3,1,2,100,0,0,25,37.88,11,0.207,44.23,5,15.38,38.46,26.92,0.25,0.045,39,1,1,7,247,3.742,9,13.64,14,21.21,-,0,0,0
Mid Island Pirates,20,Dahling,Justyce,27,65,55,0.2,0.323,0.541,0.218,11,10,1,0,0,9,9,6,18,5,4,0,0,4,1,8,80,2,0,19,29.23,10.8,0.333,67.27,3,5.26,36.84,47.37,0.297,0.167,38,3,1,12,231,3.554,11,16.92,13,20,-,0,0,0
Okanagan A's,22,Threlfall,Ari,31,65,54,0.204,0.317,0.558,0.241,11,10,0,1,0,1,9,7,7,2,2,2,0,1,1,1,33.33,2,1,31,47.69,9.3,1,87.04,16,24.49,20.41,46.94,0.234,0.063,36,1,1,13,234,3.6,5,7.69,13,20,-,0,0,0
White Rock Tritons,20,Gauthier,Brandon,24,65,50,0.24,0.387,0.647,0.26,12,11,1,0,0,5,9,5,10,5,7,3,0,3,5,3,75,1,0,24,36.92,13,0.5,80,8,16.28,30.23,41.86,0.3,0.281,41,3,1,13,225,3.462,4,6.15,11,16.92,-,0,0,0
Mid Island Pirates,2,Dovey,Matthew,26,64,48,0.188,0.371,0.558,0.188,9,9,0,0,0,6,11,11,8,1,3,2,0,2,1,3,75,1,0,18,28.13,5.8,1.375,83.33,3,7.14,38.1,47.62,0.225,0.174,39,1,0,9,225,3.516,0,0,5,7.81,-,0,0,0
UBC Thunder,37,Baxter-Bellas,Jack,22,63,52,0.231,0.365,0.634,0.269,12,10,2,0,0,6,7,11,14,4,0,0,0,1,1,1,100,0,0,27,42.86,5.7,0.786,73.08,8,21.62,48.65,27.03,0.316,0.188,25,2,2,14,250,3.968,7,11.11,12,19.05,-,0,0,0
Victoria Eagles,31,Hummel,Ashton,20,63,54,0.259,0.365,0.643,0.278,14,13,1,0,0,10,3,6,12,3,3,0,0,5,1,0,-,0,0,28,44.44,10.5,0.5,77.78,14,28.57,26.19,45.24,0.333,0.214,39,5,1,15,231,3.667,4,6.35,8,12.7,-,0,0,0
Coquitlam Reds,22,Klatt,Dylan,23,62,52,0.212,0.339,0.589,0.25,11,9,2,0,0,7,8,9,17,2,1,0,0,2,3,2,66.67,1,1,24,38.71,6.9,0.529,67.31,12,28.57,28.57,42.86,0.314,0.318,33,4,2,13,224,3.613,4,6.45,6,9.68,-,1,0,0
Delta Blue Jays,13,Strang,Nathan,30,62,52,0.115,0.246,0.419,0.173,6,3,3,0,0,0,5,8,24,7,1,1,0,0,1,0,0,1,1,23,37.1,7.8,0.333,53.85,3,10.34,58.62,27.59,0.214,0.053,32,0,3,9,234,3.774,7,11.29,10,16.13,-,0,0,0
Mid Island Pirates,44,Wedholm,Axel,32,62,53,0.208,0.311,0.519,0.208,11,11,0,0,0,5,11,7,11,5,1,1,0,0,3,3,75,1,0,24,38.71,8.9,0.636,79.25,3,6.98,39.53,39.53,0.262,0.227,37,2,0,11,233,3.758,8,12.9,12,19.35,-,0,0,0
Coquitlam Reds,30,Jacobson,Corbin,23,60,49,0.204,0.339,0.604,0.265,10,7,3,0,0,6,6,7,18,9,3,1,0,3,1,0,0,2,0,23,38.33,8.6,0.389,63.27,9,18.18,30.3,39.39,0.323,0.133,30,5,3,13,227,3.783,8,13.33,11,18.33,-,0,0,0
Delta Blue Jays,25,Hesse,Matthew,30,60,36,0.111,0.414,0.525,0.111,4,4,0,0,0,3,13,17,15,10,3,2,2,2,0,6,100,0,1,34,56.67,3.5,1.133,58.33,5,16.67,37.5,37.5,0.174,0.091,25,0,0,4,259,4.317,12,20,17,28.33,-,0,0,0
Langley Blaze,22,Oleskiw,Jayden,29,60,53,0.226,0.317,0.619,0.302,12,8,4,0,0,8,14,4,13,5,3,0,0,4,2,10,90.91,1,0,31,51.67,15,0.308,75.47,13,20,40,40,0.3,0.273,37,3,4,16,224,3.733,12,20,14,23.33,-,1,0,0
Langley Blaze,32,Sharp,Turbo,22,59,47,0.362,0.483,0.908,0.426,17,14,3,0,0,12,5,6,11,6,5,1,0,1,2,2,66.67,1,0,29,49.15,9.8,0.545,76.6,12,21.62,29.73,43.24,0.472,0.526,18,8,3,20,189,3.203,4,6.78,8,13.56,-,0,0,0
Mid Island Pirates,43,Hansen,Dane,22,59,43,0.047,0.268,0.314,0.047,2,2,0,0,0,5,4,4,13,7,9,3,0,1,2,0,-,0,0,14,23.73,14.8,0.308,69.77,2,3.03,33.33,54.55,0.067,0.095,36,0,0,2,192,3.254,5,8.47,5,8.47,-,0,0,0
Victoria Eagles,99,Dewey,Dante,18,59,55,0.273,0.322,0.704,0.382,15,12,1,1,1,11,7,1,13,5,3,0,0,2,4,6,100,0,0,24,40.68,59,0.077,76.36,13,17.07,26.83,56.1,0.341,0.214,41,7,3,21,204,3.458,8,13.56,10,16.95,55,1,0,0
White Rock Tritons,36,Harvie,Alex,27,57,52,0.231,0.286,0.536,0.25,12,11,1,0,0,4,6,3,21,9,1,1,0,2,2,2,100,0,0,20,35.09,19,0.143,59.62,9,25,25,40.63,0.387,0.188,32,1,1,13,203,3.561,7,12.28,7,12.28,-,0,0,0
Coquitlam Reds,3,Yee,Jayden,35,56,43,0.279,0.38,0.729,0.349,12,9,3,0,0,5,8,5,12,3,2,6,0,4,1,6,60,4,0,27,48.21,11.2,0.417,72.09,7,8.11,21.62,48.65,0.387,0.25,17,4,3,15,205,3.661,7,12.5,11,19.64,-,0,0,0
Coquitlam Reds,12,Crago,Cohen,22,56,49,0.347,0.429,0.837,0.408,17,14,3,0,0,14,8,6,5,1,1,0,0,0,1,7,100,0,0,26,46.43,9.3,1.2,89.8,14,13.64,36.36,50,0.386,0.5,21,7,3,20,208,3.714,4,7.14,10,17.86,-,0,0,0
UBC Thunder,38,Tham,Tyler,27,56,48,0.229,0.321,0.613,0.292,11,9,1,1,0,4,9,6,17,8,1,0,1,2,1,7,87.5,1,1,22,39.29,9.3,0.353,64.58,5,12.5,31.25,46.88,0.344,0.053,35,0,2,14,215,3.839,6,10.71,15,26.79,-,0,0,0
Victoria Mariners,40,Shibata,Jaxon,25,56,49,0.245,0.339,0.645,0.306,12,9,3,0,0,4,5,7,16,3,0,0,0,1,2,0,-,0,1,18,32.14,8,0.438,67.35,7,15.15,33.33,51.52,0.364,0.25,34,2,3,15,205,3.661,5,8.93,7,12.5,-,0,0,0
Victoria Mariners,66,Stamm,Nate,26,56,42,0.262,0.436,0.722,0.286,11,10,1,0,0,2,6,9,19,1,4,1,0,3,1,1,50,1,0,22,39.29,6.2,0.474,54.76,4,12.5,37.5,41.67,0.478,0.105,26,1,1,12,218,3.893,9,16.07,11,19.64,-,0,0,0
Whalley Chiefs,30,Frampton,Brody,27,56,45,0.111,0.259,0.393,0.133,5,4,1,0,0,3,7,6,8,3,3,2,0,6,2,0,-,0,0,16,28.57,9.3,0.75,82.22,2,5.13,35.9,51.28,0.135,0.118,29,2,1,6,194,3.464,7,12.5,8,14.29,-,0,0,0
Delta Blue Jays,1,Skelly,Colin,27,55,43,0.116,0.235,0.375,0.14,5,4,1,0,0,4,3,6,12,7,1,4,1,1,0,1,100,0,0,27,49.09,9.2,0.5,72.09,6,11.11,30.56,47.22,0.156,0.167,17,2,1,6,200,3.636,7,12.73,7,12.73,-,0,0,0
Victoria Eagles,57,Kitel,Kosta,19,55,42,0.119,0.315,0.434,0.119,5,5,0,0,0,3,8,6,11,4,6,1,0,2,1,0,-,0,0,25,45.45,9.2,0.545,73.81,9,25,21.88,50,0.161,0.111,32,1,0,5,201,3.655,5,9.09,9,16.36,-,1,0,0
Delta Blue Jays,73,Reynolds,Nathan,23,54,46,0.152,0.278,0.452,0.174,7,6,1,0,0,6,5,6,19,5,2,0,0,3,3,4,80,1,1,26,48.15,9,0.316,58.7,9,14.81,22.22,62.96,0.259,0.118,35,3,1,8,213,3.944,8,14.81,8,14.81,-,3,0,0
North Shore Twins,41,Cole,Ethan,21,54,47,0.128,0.226,0.354,0.128,6,6,0,0,0,5,4,3,7,2,3,1,0,3,3,1,100,0,1,17,31.48,18,0.429,85.11,8,17.07,39.02,41.46,0.15,0.238,33,1,0,6,195,3.611,7,12.96,8,14.81,-,1,0,0
Whalley Chiefs,51,Kimura,Eito,27,54,44,0.159,0.302,0.484,0.182,7,6,1,0,0,2,10,7,17,6,2,1,0,1,1,1,100,0,1,17,31.48,7.7,0.412,61.36,1,3.57,42.86,50,0.259,0.154,29,0,1,8,205,3.796,5,9.26,10,18.52,-,0,0,0
Coquitlam Reds,8,Smith,Lucas,20,53,41,0.22,0.347,0.591,0.244,9,8,1,0,0,4,4,7,18,9,1,4,0,0,1,5,100,0,2,31,58.49,7.6,0.389,56.1,10,25.93,33.33,25.93,0.391,0.2,33,3,1,10,220,4.151,6,11.32,13,24.53,-,0,0,0
Mid Island Pirates,27,Dakin,Max,18,53,38,0.079,0.314,0.393,0.079,3,3,0,0,0,6,4,11,21,8,2,2,0,4,0,0,-,0,0,27,50.94,4.8,0.524,44.74,3,10.53,21.05,57.89,0.176,0.059,36,2,0,3,222,4.189,12,22.64,12,22.64,-,0,0,0
Whalley Chiefs,29,Logue,Noah,20,53,43,0.186,0.321,0.53,0.209,8,7,1,0,0,5,3,7,6,4,2,0,1,1,0,0,-,0,1,20,37.74,7.6,1.167,86.05,4,10.26,38.46,46.15,0.211,0.2,26,0,1,9,188,3.547,7,13.21,10,18.87,-,2,0,0
Langley Blaze,38,Sawatzky,Hudson,25,51,46,0.239,0.314,0.662,0.348,11,6,5,0,0,6,9,5,16,4,0,0,0,1,0,3,100,0,0,21,41.18,10.2,0.313,65.22,11,30,43.33,26.67,0.367,0.167,31,0,5,16,185,3.627,4,7.84,9,17.65,-,0,0,0
UBC Thunder,2,Chow,Taigo,21,51,47,0.17,0.22,0.39,0.17,8,8,0,0,0,4,3,2,15,7,1,1,0,0,1,1,100,0,0,19,37.25,25.5,0.133,68.09,8,21.21,30.3,39.39,0.25,0.176,30,0,0,8,188,3.686,9,17.65,10,19.61,-,0,0,0
Okanagan A's,51,Misfeldt,Tanner,19,49,46,0.413,0.449,0.884,0.435,19,18,1,0,0,10,3,3,9,5,0,0,0,1,1,3,75,1,0,28,57.14,16.3,0.333,80.43,18,37.84,27.03,35.14,0.514,0.476,22,4,1,20,159,3.245,7,14.29,9,18.37,-,0,0,0
Abbotsford Cardinals,3,Taylor,Jake,19,48,40,0.05,0.208,0.283,0.075,2,1,1,0,0,5,6,5,12,6,3,0,0,4,3,0,-,0,0,14,29.17,9.6,0.417,70,2,7.14,32.14,57.14,0.071,0.143,28,3,1,3,158,3.292,5,10.42,7,14.58,-,0,0,0
Coquitlam Reds,35,Abbruzzese,Francesco,19,48,40,0.175,0.283,0.458,0.175,7,7,0,0,0,1,2,5,12,4,1,2,0,0,1,1,33.33,2,1,20,41.67,9.6,0.417,70,8,10,36.67,43.33,0.25,0.056,29,0,0,7,180,3.75,8,16.67,9,18.75,-,0,0,0
Abbotsford Cardinals,34,Wooffinden,Berend,23,46,32,0.125,0.341,0.466,0.125,4,4,0,0,0,3,6,8,12,6,3,2,1,2,0,1,50,1,0,20,43.48,5.8,0.667,62.5,2,4.35,43.48,43.48,0.19,0.214,22,1,0,4,186,4.043,4,8.7,7,15.22,-,1,0,0
Langley Blaze,27,Brahney-Garcia,Matthew,24,45,35,0.114,0.289,0.403,0.114,4,4,0,0,0,3,7,9,18,5,0,0,1,1,0,3,60,2,1,21,46.67,5,0.5,48.57,6,33.33,44.44,22.22,0.222,0,16,0,0,4,190,4.222,6,13.33,9,20,-,0,0,0
UBC Thunder,58,Ito Shane,Travis,18,45,34,0.176,0.302,0.479,0.176,6,6,0,0,0,2,8,4,12,2,3,1,2,1,0,2,100,0,1,17,37.78,11.3,0.333,64.71,4,16,52,28,0.25,0.063,26,0,0,6,156,3.467,2,4.44,7,15.56,-,1,0,1
Okanagan A's,8,Bowman,Reid,21,44,40,0.075,0.14,0.24,0.1,3,2,1,0,0,0,2,2,17,7,1,1,0,3,1,0,0,2,0,13,29.55,22,0.118,57.5,3,8.33,37.5,45.83,0.13,0,26,0,1,4,176,4,4,9.09,9,20.45,-,1,0,0
UBC Thunder,5,McGauley,Nick,20,44,36,0.167,0.295,0.462,0.167,6,6,0,0,0,6,2,5,12,1,2,0,1,0,0,2,66.67,1,0,13,29.55,8.8,0.417,66.67,4,12,48,36,0.24,0.273,17,2,0,6,150,3.409,4,9.09,5,11.36,-,0,0,0
Delta Blue Jays,17,Rifkin,Sander,14,43,33,0.303,0.442,0.775,0.333,10,9,1,0,0,12,5,6,8,2,3,0,1,1,1,4,100,0,0,17,39.53,7.2,0.75,75.76,8,11.54,30.77,57.69,0.385,0.263,26,6,1,11,146,3.395,2,4.65,5,11.63,-,1,0,0
Delta Blue Jays,51,Phillips,Nathan,21,43,40,0.075,0.14,0.215,0.075,3,3,0,0,0,2,2,3,22,7,0,0,0,0,2,0,-,0,0,15,34.88,14.3,0.136,45,4,22.22,33.33,44.44,0.167,0.083,29,0,0,3,167,3.884,6,13.95,8,18.6,-,1,0,0
Mid Island Pirates,13,Mottishaw,Logan,17,43,34,0.235,0.395,0.631,0.235,8,8,0,0,0,4,7,7,7,0,2,0,0,0,1,0,0,1,0,15,34.88,6.1,1,79.41,4,14.81,25.93,48.15,0.296,0.286,26,1,0,8,156,3.628,4,9.3,4,9.3,-,1,0,0
Okanagan A's,6,Bitgood,Ethan,20,43,34,0.147,0.31,0.457,0.147,5,5,0,0,0,2,5,8,9,7,0,1,0,1,3,1,100,0,1,24,55.81,5.4,0.889,73.53,7,19.23,23.08,50,0.2,0.2,24,1,0,5,183,4.256,4,9.3,15,34.88,-,0,0,0
Abbotsford Cardinals,28,Janzen,Charlie,19,42,33,0.152,0.286,0.468,0.182,5,4,1,0,0,4,7,7,8,5,0,0,2,3,0,0,0,1,0,17,40.48,6,0.875,75.76,4,7.41,51.85,40.74,0.185,0.056,30,0,1,6,157,3.738,4,9.52,7,16.67,-,0,0,0
Okanagan A's,9,Langill,Brady,18,42,35,0.257,0.381,0.638,0.257,9,9,0,0,0,3,3,3,9,4,4,0,0,1,0,5,83.33,1,0,12,28.57,14,0.333,74.29,4,15.38,42.31,42.31,0.346,0.308,18,3,0,9,158,3.762,2,4.76,7,16.67,-,0,0,0
Whalley Chiefs,41,Ohura,Isshin,18,42,33,0.212,0.366,0.669,0.303,7,6,0,0,1,6,5,8,19,6,0,1,0,0,1,1,100,0,0,17,40.48,5.3,0.421,42.42,3,13.33,53.33,26.67,0.462,0.143,27,0,1,10,164,3.905,5,11.9,8,19.05,33,0,0,0
Okanagan A's,46,Gilbert,Henry,20,40,32,0.125,0.171,0.296,0.125,4,4,0,0,0,3,6,1,15,4,1,5,1,3,0,2,100,0,0,12,30,40,0.067,53.13,1,4.35,34.78,34.78,0.222,0.25,17,1,0,4,138,3.45,3,7.5,2,5,-,0,0,0
White Rock Tritons,27,Wilson,Alex,19,40,35,0.229,0.325,0.668,0.343,8,5,2,1,0,2,4,4,15,6,1,0,0,0,1,0,-,0,0,18,45,10,0.267,57.14,5,25,50,20,0.4,0.111,30,2,3,12,159,3.975,6,15,7,17.5,-,0,0,0
Mid Island Pirates,23,Pennock,Charlie,14,38,27,0.074,0.324,0.435,0.111,2,1,1,0,0,1,2,8,16,3,2,1,0,0,0,1,100,0,0,16,42.11,4.8,0.5,40.74,1,8.33,66.67,8.33,0.182,0.063,29,0,1,3,159,4.184,9,23.68,10,26.32,-,0,0,0
UBC Thunder,57,Delipper,Levi,13,36,29,0.414,0.5,1.086,0.586,12,8,3,1,0,6,7,2,3,0,4,0,1,1,0,2,100,0,1,15,41.67,18,0.667,89.66,8,22.22,40.74,37.04,0.444,0.308,12,1,4,17,114,3.167,2,5.56,5,13.89,-,0,0,0
White Rock Tritons,53,Huzyk,Daniel,16,36,30,0.067,0.222,0.289,0.067,2,2,0,0,0,1,3,5,15,4,1,0,0,1,1,1,100,0,0,18,50,7.2,0.333,50,4,20,40,40,0.133,0,27,0,0,2,167,4.639,8,22.22,11,30.56,-,1,0,0
Victoria Eagles,60,Brown,Matt,13,35,29,0.207,0.324,0.565,0.241,6,5,1,0,0,2,4,4,12,7,1,1,0,3,1,0,-,0,0,11,31.43,8.8,0.333,58.62,4,16.67,22.22,55.56,0.353,0.167,22,1,1,7,123,3.514,3,8.57,4,11.43,-,0,0,0
Coquitlam Reds,40,Egawa,Gen,15,34,24,0.125,0.382,0.507,0.125,3,3,0,0,0,2,6,10,10,2,0,0,0,1,0,0,-,0,0,17,50,3.4,1,58.33,4,14.29,21.43,64.29,0.214,0,18,1,0,3,148,4.353,1,2.94,10,29.41,-,0,0,0
Coquitlam Reds,49,Sahota-Rai,Braydon,15,34,29,0.138,0.219,0.357,0.138,4,4,0,0,0,3,2,1,4,0,2,2,0,1,0,1,50,1,0,13,38.24,34,0.25,86.21,7,11.11,33.33,48.15,0.16,0.214,24,2,0,4,106,3.118,4,11.76,4,11.76,-,0,0,0
Victoria Mariners,43,Kay,Jasper,18,33,28,0.143,0.25,0.393,0.143,4,4,0,0,0,1,5,4,7,0,0,1,0,1,1,0,-,0,0,14,42.42,8.3,0.571,75,6,27.27,31.82,36.36,0.19,0.286,13,0,0,4,115,3.485,4,12.12,6,18.18,-,0,0,0
Abbotsford Cardinals,44,Friesen,Isaac,13,32,26,0.192,0.344,0.613,0.269,5,4,0,1,0,4,9,4,10,3,2,0,0,2,0,1,100,0,0,16,50,8,0.4,61.54,3,6.25,56.25,37.5,0.313,0.167,21,0,1,7,120,3.75,7,21.88,6,18.75,-,1,0,0
Langley Blaze,25,So,Chad,12,32,29,0.379,0.406,0.82,0.414,11,10,1,0,0,5,4,2,3,1,0,0,1,1,4,1,50,1,0,14,43.75,16,0.667,89.66,11,22.22,14.81,62.96,0.407,0.4,10,0,1,12,93,2.906,1,3.13,2,6.25,-,0,0,0
Whalley Chiefs,28,Mingo,Mylan,19,32,25,0.24,0.355,0.635,0.28,6,5,1,0,0,6,8,5,10,4,0,1,1,0,0,1,100,0,1,13,40.63,6.4,0.5,60,2,11.76,47.06,35.29,0.375,0.25,17,0,1,7,124,3.875,7,21.88,7,21.88,-,1,0,0
Victoria Mariners,84,Buckler,Andreas,15,29,25,0.2,0.286,0.526,0.24,5,4,1,0,0,2,3,2,7,2,1,1,0,1,1,1,100,0,0,12,41.38,14.5,0.286,72,3,15.79,31.58,47.37,0.278,0.222,12,0,1,6,103,3.552,5,17.24,4,13.79,-,0,0,0
Mid Island Pirates,24,Coy,Lucas,15,28,24,0.125,0.25,0.417,0.167,3,2,1,0,0,1,4,2,13,5,2,0,0,1,2,0,-,0,0,7,25,14,0.154,45.83,0,0,18.18,72.73,0.273,0.2,16,1,1,4,93,3.321,4,14.29,3,10.71,-,1,0,0
