Team,Number,Last,First,GP,PA,AB,AVG,OBP,OPS,SLG,H,1B,2B,3B,HR,RBI,R,BB,SO,K-L,HBP,SAC,SF,ROE,FC,SB,SB%,CS,PIK,QAB,QAB%,PA/BB,BB/K,C%,HHB,LD%,FB%,GB%,BABIP,BA/RISP,LOB,2OUTRBI,XBH,TB,PS,PS/PA,2S+3,2S+3%,6+,6+%,AB/HR,GIDP,GITP,CI
Langley Blaze,20,Hebner,Chase,39,115,96,0.26,0.36,0.735,0.375,25,16,8,0,1,13,13,10,23,7,6,1,2,1,3,2,100,0,0,52,45.22,11.5,0.435,76.04,20,17.11,40.79,40.79,0.324,0.25,60,3,9,36,400,3.478,12,10.43,23,20,96,1,0,0
Victoria Eagles,33,Reay,Lucas,37,115,109,0.202,0.243,0.491,0.248,22,17,5,0,0,12,9,3,31,11,3,0,0,7,1,1,100,0,0,39,33.91,38.3,0.097,71.56,27,29.49,29.49,39.74,0.282,0.196,87,2,5,27,348,3.026,9,7.83,10,8.7,-,0,0,0
White Rock Tritons,12,Macri,Tye,41,115,93,0.247,0.383,0.662,0.28,23,20,3,0,0,14,13,18,20,8,3,0,1,4,4,3,60,2,0,50,43.48,6.4,0.9,78.49,19,20.27,31.08,48.65,0.311,0.324,58,4,3,26,444,3.861,13,11.3,22,19.13,-,0,0,0
Mid Island Pirates,15,Harmison,Brayden,37,114,92,0.228,0.366,0.627,0.261,21,18,3,0,0,12,14,12,21,8,8,2,0,6,4,6,85.71,1,0,40,35.09,9.5,0.571,77.17,4,4.11,35.62,42.47,0.296,0.2,51,2,3,24,428,3.754,17,14.91,24,21.05,-,0,0,0
North Shore Twins,37,Fallis,Luke,36,114,94,0.213,0.321,0.609,0.287,20,14,5,1,0,11,15,16,18,5,0,2,2,4,4,8,88.89,1,0,59,51.75,7.1,0.889,80.85,23,22.5,42.5,32.5,0.256,0.357,43,2,6,27,403,3.535,14,12.28,22,19.3,-,1,0,0
Langley Blaze,15,Dolphin,Will,36,113,90,0.244,0.363,0.641,0.278,22,19,3,0,0,16,14,16,10,4,3,0,4,3,3,7,87.5,1,0,61,53.98,7.1,1.6,88.89,29,25,34.52,40.48,0.262,0.316,49,2,3,25,433,3.832,15,13.27,18,15.93,-,3,0,0
Whalley Chiefs,25,Miller,Chance,34,113,91,0.319,0.438,0.822,0.385,29,24,4,1,0,17,22,16,23,6,4,1,1,6,2,8,80,2,0,42,37.17,7.1,0.696,74.73,10,14.29,34.29,45.71,0.42,0.345,41,7,5,35,430,3.805,12,10.62,20,17.7,-,2,0,0
Whalley Chiefs,78,De Groot,Marcus,42,113,96,0.354,0.442,0.849,0.406,34,29,5,0,0,19,16,11,15,6,5,0,1,4,3,2,100,0,1,46,40.71,10.3,0.733,84.38,16,18.29,23.17,58.54,0.415,0.405,45,7,5,39,432,3.823,15,13.27,22,19.47,-,1,0,0
Coquitlam Reds,21,Towsley,Blake,33,112,100,0.29,0.366,0.716,0.35,29,23,6,0,0,3,20,10,13,8,2,0,0,3,1,8,80,2,0,45,40.18,11.2,0.769,87,22,18.39,41.38,40.23,0.333,0.292,33,0,6,35,380,3.393,11,9.82,16,14.29,-,0,0,0
Langley Blaze,24,Lambie,Blake,38,112,92,0.217,0.357,0.629,0.272,20,16,3,1,0,16,13,15,22,4,5,0,0,2,4,13,92.86,1,0,53,47.32,7.5,0.682,76.09,18,21.43,21.43,57.14,0.286,0.225,53,5,4,25,426,3.804,17,15.18,24,21.43,-,1,0,0
Coquitlam Reds,25,Warren,Fraser,36,111,95,0.421,0.477,0.972,0.495,40,34,5,1,0,17,24,13,13,5,0,0,3,0,4,20,95.24,1,3,52,46.85,8.5,1,86.32,23,21.18,40,37.65,0.471,0.5,35,6,6,47,391,3.523,16,14.41,19,17.12,-,0,0,0
Victoria Mariners,11,Barnes,Colton,38,111,92,0.326,0.436,0.817,0.38,30,26,3,1,0,14,22,16,7,2,2,1,0,4,2,7,87.5,1,0,54,48.65,6.9,2.286,92.39,21,22.09,29.07,47.67,0.353,0.235,49,4,4,35,408,3.676,12,10.81,22,19.82,-,1,0,0
Okanagan A's,57,Giroday,Preston,35,110,91,0.286,0.391,0.721,0.33,26,22,4,0,0,14,19,16,16,5,1,0,2,2,5,12,100,0,0,52,47.27,6.9,1,82.42,24,24.68,33.77,40.26,0.338,0.4,47,7,4,30,386,3.509,8,7.27,13,11.82,-,2,0,0
UBC Thunder,52,Hirai,Kota,36,110,92,0.304,0.413,0.761,0.348,28,25,2,1,0,11,23,17,17,6,0,1,0,5,3,25,89.29,3,1,49,44.55,6.5,1,81.52,16,15.79,22.37,50,0.373,0.282,48,3,3,32,443,4.027,18,16.36,28,25.45,-,0,0,0
Whalley Chiefs,21,van den Hoven,Benjamin,40,110,99,0.323,0.391,0.896,0.505,32,19,8,5,0,20,18,9,31,10,2,0,0,1,5,7,77.78,2,1,45,40.91,12.2,0.29,68.69,11,14.71,48.53,35.29,0.471,0.317,66,2,13,50,450,4.091,18,16.36,23,20.91,-,0,0,0
UBC Thunder,39,Vye-Weedon,Hunter,37,109,87,0.345,0.468,0.859,0.391,30,27,2,1,0,7,32,20,22,13,1,0,1,5,0,32,91.43,3,1,48,44.04,5.5,0.909,74.71,12,15.38,30.77,41.54,0.455,0.323,31,4,3,34,421,3.862,14,12.84,26,23.85,-,0,0,0
Abbotsford Cardinals,8,Krause,Linden,34,108,93,0.28,0.346,0.711,0.366,26,19,6,1,0,21,12,8,4,2,3,1,3,10,4,5,83.33,1,0,38,35.19,13.5,2,95.7,12,4.3,37.63,54.84,0.283,0.366,49,5,7,34,316,2.926,8,7.41,9,8.33,-,4,0,0
Victoria Mariners,48,Rowan,Carson,36,108,101,0.426,0.463,1.067,0.604,43,28,12,3,0,34,16,7,5,0,0,0,0,6,7,1,33.33,2,0,57,52.78,15.4,1.4,95.05,33,22.92,22.92,54.17,0.448,0.435,50,13,15,61,338,3.13,9,8.33,11,10.19,-,1,0,0
Victoria Mariners,50,Seto,Aricin,38,108,89,0.281,0.356,0.716,0.36,25,18,7,0,0,16,12,10,23,9,1,7,1,1,4,4,80,1,0,56,51.85,10.8,0.435,74.16,17,10.81,33.78,43.24,0.373,0.257,53,4,7,32,396,3.667,12,11.11,18,16.67,-,2,0,0
Victoria Mariners,70,Diallo,Kande,40,108,80,0.188,0.398,0.611,0.212,15,13,2,0,0,5,17,18,18,4,10,0,0,3,2,12,85.71,2,0,41,37.96,6,1,77.5,8,11.29,30.65,56.45,0.242,0.135,52,3,2,17,431,3.991,17,15.74,24,22.22,-,2,0,0
Coquitlam Reds,7,Ballard,Teddy,35,107,88,0.284,0.4,0.775,0.375,25,18,6,1,0,10,13,10,20,5,7,2,0,1,2,13,86.67,2,1,47,43.93,10.7,0.5,77.27,21,17.14,41.43,35.71,0.368,0.313,51,3,7,33,329,3.075,8,7.48,14,13.08,-,0,0,0
UBC Thunder,3,Jackson,Quinn,37,107,91,0.308,0.406,0.757,0.352,28,24,4,0,0,12,16,15,22,11,0,1,0,4,1,17,80.95,4,0,46,42.99,7.1,0.682,75.82,14,18.84,42.03,33.33,0.406,0.371,48,7,4,32,400,3.738,18,16.82,22,20.56,-,1,0,0
White Rock Tritons,2,Macdonald,Hayden,32,107,89,0.303,0.421,0.758,0.337,27,24,3,0,0,10,23,6,20,12,12,0,0,2,6,4,80,1,0,38,35.51,17.8,0.3,77.53,22,27.54,17.39,55.07,0.391,0.276,52,5,3,30,364,3.402,8,7.48,14,13.08,-,1,0,0
North Shore Twins,31,Lee,Jayden,36,106,88,0.273,0.362,0.737,0.375,24,18,3,3,0,14,12,10,25,15,4,1,3,3,3,9,75,3,3,48,45.28,10.6,0.4,71.59,17,16.42,34.33,47.76,0.364,0.3,50,4,6,33,359,3.387,12,11.32,17,16.04,-,1,0,0
North Shore Twins,56,Brooks,Joe,35,105,87,0.195,0.324,0.554,0.23,17,14,3,0,0,2,6,11,30,10,6,0,1,2,0,4,80,1,0,46,43.81,9.5,0.367,65.52,18,20.69,29.31,50,0.293,0.056,56,1,3,20,403,3.838,13,12.38,18,17.14,-,0,0,0
Coquitlam Reds,34,Mullis-Howard,Seb,37,102,83,0.229,0.354,0.582,0.229,19,19,0,0,0,9,10,12,26,7,4,3,0,2,1,2,40,3,0,43,42.16,8.5,0.462,68.67,16,18.33,30,35,0.333,0.407,34,6,0,19,382,3.745,12,11.76,16,15.69,-,0,0,0
White Rock Tritons,25,Gerevas,Jack,35,102,92,0.239,0.304,0.663,0.359,22,13,8,0,1,20,13,9,31,10,0,0,1,3,5,4,100,0,1,49,48.04,11.3,0.29,66.3,17,15.87,49.21,33.33,0.344,0.389,51,5,9,33,368,3.608,17,16.67,20,19.61,92,2,0,0
UBC Thunder,34,Shimmura,Jun,34,101,77,0.247,0.416,0.741,0.325,19,14,4,1,0,16,19,21,16,9,2,0,1,6,5,11,61.11,7,0,51,50.5,4.8,1.313,79.22,19,22.58,16.13,59.68,0.306,0.286,50,6,5,25,370,3.663,11,10.89,17,16.83,-,2,0,0
Victoria Eagles,9,Brice,Billy,35,101,79,0.19,0.327,0.542,0.215,15,13,2,0,0,10,10,13,33,13,4,3,2,4,3,2,66.67,1,0,51,50.5,7.8,0.394,58.23,17,23.08,34.62,34.62,0.313,0.192,51,6,2,17,379,3.752,15,14.85,18,17.82,-,1,0,0
Langley Blaze,28,Beatty,Cayde,37,100,79,0.253,0.39,0.732,0.342,20,14,5,1,0,18,20,15,26,12,4,0,2,0,3,13,92.86,1,0,52,52,6.7,0.577,67.09,16,25.45,45.45,29.09,0.364,0.344,42,10,6,27,418,4.18,20,20,29,29,-,1,0,0
North Shore Twins,32,Murphy,Teggen,33,100,83,0.241,0.354,0.667,0.313,20,15,4,1,0,10,20,14,17,6,1,1,1,4,3,10,100,0,0,48,48,7.1,0.824,79.52,20,23.53,36.76,38.24,0.299,0.267,48,0,5,26,352,3.52,12,12,18,18,-,1,0,0
Victoria Eagles,19,Virtanen,Lucas,34,100,67,0.194,0.444,0.653,0.209,13,12,1,0,0,10,15,25,17,6,6,1,1,3,1,1,50,1,0,50,50,4,1.471,74.63,12,17.31,44.23,36.54,0.255,0.286,40,4,1,14,413,4.13,15,15,25,25,-,1,0,0
Coquitlam Reds,10,Bodell,Michael,33,99,86,0.221,0.316,0.619,0.302,19,14,4,0,1,12,15,8,28,13,4,1,0,2,3,3,75,1,0,41,41.41,12.4,0.286,67.44,18,16.95,45.76,32.2,0.316,0.32,40,6,5,26,339,3.424,10,10.1,18,18.18,86,1,0,0
Delta Blue Jays,41,Ingleson,Andrew,39,98,79,0.139,0.289,0.428,0.139,11,11,0,0,0,4,13,12,30,13,5,1,1,2,5,10,71.43,4,0,38,38.78,8.2,0.4,62.03,10,13.73,43.14,39.22,0.22,0.143,52,0,0,11,349,3.561,12,12.24,17,17.35,-,0,0,0
Okanagan A's,55,Coulter,Ashton,36,97,84,0.298,0.381,0.727,0.345,25,23,1,0,1,13,12,7,12,3,5,0,1,7,4,11,91.67,1,0,35,36.08,13.9,0.583,85.71,20,20.55,35.62,42.47,0.333,0.286,50,8,2,29,329,3.392,8,8.25,10,10.31,84,1,0,0
Victoria Eagles,32,Anderson,Sean,28,97,89,0.247,0.309,0.601,0.292,22,19,2,1,0,15,15,6,13,7,2,0,0,3,4,9,75,3,0,33,34.02,16.2,0.462,85.39,17,21.05,28.95,44.74,0.289,0.268,64,5,3,26,325,3.351,8,8.25,13,13.4,-,0,0,0
UBC Thunder,28,Weisser,Lucas,30,96,83,0.325,0.411,0.892,0.482,27,16,9,2,0,14,17,6,16,4,6,1,0,6,3,15,88.24,2,0,34,35.42,16,0.375,80.72,14,16.18,35.29,44.12,0.403,0.27,48,7,11,40,309,3.219,7,7.29,10,10.42,-,0,0,0
White Rock Tritons,19,Sidhu,Janak,34,96,79,0.241,0.355,0.633,0.278,19,16,3,0,0,7,14,11,16,7,3,3,0,4,3,4,66.67,2,0,46,47.92,8.7,0.688,79.75,14,13.64,18.18,60.61,0.302,0.259,42,3,3,22,376,3.917,16,16.67,21,21.88,-,4,0,0
Whalley Chiefs,62,Lewis,Samuel,39,95,79,0.228,0.347,0.651,0.304,18,13,4,1,0,13,15,14,25,8,1,0,1,4,3,7,100,0,2,41,43.16,6.8,0.56,68.35,11,18.18,32.73,49.09,0.327,0.231,44,2,5,24,381,4.011,12,12.63,17,17.89,-,2,0,0
Langley Blaze,10,O'Brien,Karsen,29,94,82,0.366,0.436,0.912,0.476,30,23,6,0,1,18,16,8,8,3,3,0,1,4,5,4,100,0,0,48,51.06,11.8,1,90.24,29,24,30.67,45.33,0.392,0.324,42,10,7,39,308,3.277,10,10.64,14,14.89,82,3,0,0
Mid Island Pirates,21,Lange,Jackson,29,92,79,0.139,0.25,0.415,0.165,11,9,2,0,0,8,10,8,17,4,4,0,1,4,1,6,85.71,1,0,36,39.13,11.5,0.471,78.48,9,9.52,49.21,41.27,0.175,0.105,59,0,2,13,331,3.598,12,13.04,20,21.74,-,4,0,0
North Shore Twins,52,Nagatomo,Sota,33,92,76,0.25,0.352,0.629,0.276,19,17,2,0,0,11,10,8,10,7,4,4,0,6,2,2,100,0,0,34,36.96,11.5,0.8,86.84,13,15.71,24.29,52.86,0.288,0.379,41,2,2,21,285,3.098,6,6.52,9,9.78,-,3,0,0
Okanagan A's,35,Lewandowski,Tanner,35,92,78,0.192,0.284,0.515,0.231,15,12,3,0,0,11,7,9,19,3,1,4,0,5,1,3,42.86,4,1,35,38.04,10.2,0.474,75.64,14,19.05,17.46,42.86,0.254,0.2,39,4,3,18,293,3.185,7,7.61,10,10.87,-,0,0,0
Victoria Eagles,13,Willington,Jack,30,92,79,0.241,0.333,0.599,0.266,19,17,2,0,0,10,12,6,14,4,5,2,0,5,4,1,100,0,0,37,40.22,15.3,0.429,82.28,19,22.73,24.24,50,0.292,0.25,49,4,2,21,299,3.25,7,7.61,14,15.22,-,0,0,0
Victoria Eagles,37,Siminovic,Deven,29,92,76,0.355,0.435,0.843,0.408,27,23,4,0,0,13,16,13,16,7,0,0,3,4,4,8,80,2,0,56,60.87,7.1,0.813,78.95,26,25.4,17.46,55.56,0.429,0.423,40,1,4,31,363,3.946,11,11.96,22,23.91,-,0,0,0
Coquitlam Reds,46,Pel,Jacob,35,91,71,0.225,0.356,0.596,0.239,16,15,1,0,0,6,10,7,20,3,8,4,1,4,1,3,50,3,0,34,37.36,13,0.35,71.83,13,14.29,39.29,37.5,0.308,0.154,43,4,1,17,307,3.374,8,8.79,14,15.38,-,0,0,0
Delta Blue Jays,50,Eaton-Parfitt,Miles,37,91,78,0.231,0.322,0.579,0.256,18,16,2,0,0,12,5,8,19,8,3,1,1,1,1,1,50,1,0,36,39.56,11.4,0.421,75.64,14,19.67,42.62,36.07,0.3,0.25,56,8,2,20,319,3.505,10,10.99,13,14.29,-,4,0,0
